geoid,geoid20,year,denom_total_pop,traffic_impacts,traffic_impacts_pctile
1400000US06037267101,6037267101,2021,2918,1564.76,71
1400000US06037574300,6037574300,2021,6052,1703.0601,73
1400000US06037267102,6037267102,2021,3731,1564.76,71
1400000US06037700300,6037700300,2021,6223,1588.1899,71
1400000US06037108102,6037108102,2021,3552,1840.09,76
1400000US06037211704,6037211704,2021,2796,1248.87,60
1400000US06037920334,6037920334,2021,6088,1969.1899,78
1400000US06037920326,6037920326,2021,7573,3536.74,96
1400000US06037120105,6037120105,2021,2832,1022.87,46
1400000US06037121210,6037121210,2021,2926,2495.51,86
1400000US06037502003,6037502003,2021,2634,1192.12,58
1400000US06037261104,6037261104,2021,2329,957.94,41
1400000US06037464102,6037464102,2021,3499,544.08002,10
1400000US06037464101,6037464101,2021,3608,544.08002,10
1400000US06037106645,6037106645,2021,3650,388.22,5
1400000US06037301501,6037301501,2021,1790,346.26001,4
1400000US06037189702,6037189702,2021,2201,3264.5901,94
1400000US06037430724,6037430724,2021,4723,783.07001,26
1400000US06037800101,6037800101,2021,5738,617.08002,14
1400000US06037191110,6037191110,2021,3478,1711.65,73
1400000US06037101300,6037101300,2021,3884,1468.62,69
1400000US06037403326,6037403326,2021,1180,1608.63,71
1400000US06037261103,6037261103,2021,1054,957.94,41
1400000US06037405900,6037405900,2021,3951,722.37,21
1400000US06037189101,6037189101,2021,2521,915.48999,37
1400000US06037700400,6037700400,2021,5162,1190.42,58
1400000US06037310300,6037310300,2021,2881,180.08,2
1400000US06037670418,6037670418,2021,3817,975.40997,42
1400000US06037530802,6037530802,2021,3165,1445.84,68
1400000US06037207712,6037207712,2021,1725,1840.04,75
1400000US06037207711,6037207711,2021,2940,1840.04,75
1400000US06037122122,6037122122,2021,2728,1620.99,72
1400000US06037433403,6037433403,2021,4882,1469.03,69
1400000US06037702202,6037702202,2021,3969,834.66998,30
1400000US06037533104,6037533104,2021,4415,887.98999,35
1400000US06037402403,6037402403,2021,5231,1267.77,62
1400000US06037670324,6037670324,2021,5091,848.81,32
1400000US06037141201,6037141201,2021,4583,3723.9099,97
1400000US06037107010,6037107010,2021,3141,562.03998,11
1400000US06037124500,6037124500,2021,2925,844.56,31
1400000US06037271902,6037271902,2021,4207,740.90997,23
1400000US06037620305,6037620305,2021,5845,552.51001,10
1400000US06037113101,6037113101,2021,3719,1930.1899,77
1400000US06037551204,6037551204,2021,3795,957.32001,41
1400000US06037551203,6037551203,2021,4045,957.32001,41
1400000US06037920102,6037920102,2021,5409,921.67999,38
1400000US06037533701,6037533701,2021,2998,1226.51,59
1400000US06037481711,6037481711,2021,4246,645.65997,16
1400000US06037275603,6037275603,2021,2537,2077.1001,80
1400000US06037124000,6037124000,2021,5219,1744.45,74
1400000US06037271300,6037271300,2021,4395,3883.3601,98
1400000US06037570001,6037570001,2021,4764,665.71002,17
1400000US06037269100,6037269100,2021,4274,552.95001,11
1400000US06037620102,6037620102,2021,3355,1076.1,50
1400000US06037800324,6037800324,2021,6966,2043.46,80
1400000US06037551502,6037551502,2021,4898,985.08002,43
1400000US06037300100,6037300100,2021,6014,114.6,1
1400000US06037534404,6037534404,2021,3677,1094.88,52
1400000US06037503106,6037503106,2021,4091,890.83002,35
1400000US06037294610,6037294610,2021,4334,945.39001,40
1400000US06037551002,6037551002,2021,2887,1309.98,63
1400000US06037139001,6037139001,2021,5639,4048.27,98
